Title,BggId
Castles of Burgundy (2019),84876
7 Wonders Duel: Pantheon,173346
Fury of Dracula: Third Edition,181279
Tzolk'in,126163
Viticulture: Tuscany Essential Edition,183394
Gloomhaven,174430
Clank!: Legacy - Acquisitions Incorporated,266507
Targi,118048
Pandemic Legacy,161936
Dominion plus expansions,36218
Orleans: Trade and Intrigue,164928
Clank! In! Space!,233371
7 Wonders,68448
Twilight Struggle,12333
Wingspan,266192
Azul,230802
Splendor: Cities of Splendor,148228
Dice Forge,194594
Power Grid,2651
Lost Ruins of Arnak,312484
Terra Mystica,120677
Puerto Rico,3076
Haven,205127
Notre Dame: 10th Anniversary Edition,25554
Nertz,7263
Bezzerwizzer,32441
Istanbul: Mocha and Baksheesh,148949
Century: Spice Road,209685
Just One,254640
Codenames (and duet),178900
Castles of Mad King Ludwig,155426
Mysterium,181304
Glen More II: Chronicles,265188
Stone Age,34635
Letters from Whitechapel,59959
Sheriff of Nottingham,157969
Lanterns:  The Emperor's Gifts,160851
Pandemic,30549
Patchwork,163412
Photosynthesis,218603
Hardback/Paperback,223750
Res Arcana,262712
San Juan (2nd editon),166669
The Resistance: Avalon,128882
Onitama,160477
Jaipur,54043
Cribbage,2398
Ticket to Ride: Europe,14996
Hive (with exps),2655
Santorini,194655
