Title,BggId
Terra Mystica,120677
Dune: Imperium,316554
Lost Ruins of Arnak,312484
Terraforming Mars,167791
Brass Birmingham,224517
Great Western Trail,193738
Dominion,36218
Mansions of Madness,205059
Concordia,124361
Tichu,215
The Quacks of Quedlinburg,244521
Teotihuacan,229853
Spirit Island,162886
Cascadia,295947
The Castles of Burgundy,84876
Sagrada,199561
Orleans,164928
Cryptid,246784
Caverna,102794
Res Arcana,262712
In the Hall of the Mountain King,265402
Splendor,148228
Between Two Cities,168435
Lords of Waterdeep,110327
Stone Age,34635
Empires of the North,270844
Roll Player,169426
Raiders of the North Sea,170042
7 Wonders Duel,173346
Suburbia,123260
Five Tribes,157354
Azul,230802
Power Grid,2651
Tzolk'in,126163
Scythe,169786
Kenjin,172362
Dice Miner,310632
Castles of Mad King Ludwig,155426
Potion Explosion,180974
High Society,220
Tiny Towns,265736
Space Base,242302
Just One,254640
Sushi Go Party,192291
Skull,92415
Kingdomino,204583
Istanbul,148949
Glass Road,143693
Bruges,136888
The Crew,284083
